질문,답변
커튼월이 뭐야?,"커튼월은 건물의 하중을 모두 기둥, 들보, 바닥, 지붕으로 지탱하고, 외벽은 하중을 부담하지 않은 채 마치 커튼을 치듯 건축자재를 돌려쳐 외벽으로 삼는 건축 양식이다."
커튼월이란 무엇인가요?,"커튼월은 건물의 하중을 모두 기둥, 들보, 바닥, 지붕으로 지탱하고, 외벽은 하중을 부담하지 않은 채 마치 커튼을 치듯 건축자재를 돌려쳐 외벽으로 삼는 건축 양식이다."
내진구조가 뭐야?,내진구조란 강한 규모의 지진파에도 건축물의 구조나 시설물들이 붕괴되지 않도록 철근콘크리트의 내진벽과 같은 부재를 설치하여 튼튼하게 건축하는 것을 의미합니다.
내진구조에 대해서 알려줘,내진구조란 강한 규모의 지진파에도 건축물의 구조나 시설물들이 붕괴되지 않도록 철근콘크리트의 내진벽과 같은 부재를 설치하여 튼튼하게 건축하는 것을 의미합니다.
중목구조 방식이 뭐야?,중목구조는 기본적으로 기둥-보 방식과 유사하지만 구조용 목재로 큰 각재를 사용하여 건축한다는 것이 차이점입니다.
중목구조 방식에 대해서 좀 더 자세히 알고 싶어요.,중목구조는 기본적으로 기둥-보 방식과 유사하지만 구조용 목재로 큰 각재를 사용하여 건축한다는 것이 차이점입니다.
기둥-보 구조 방식이 뭐야?,"기둥-보 구조 방식은 가장 오래된 목구조 방식 중 하나로 통나무 구조에서 발전된 건축양식입니다. 주로 상업건물이나, 규모가 큰 주택 등에 사용되며 요즘에는 전형적인 플랫폼 구조와 혼용되기도 합니다."
기둥-보 구조 방식은 무엇인가요?,"기둥-보 구조 방식은 가장 오래된 목구조 방식 중 하나로 통나무 구조에서 발전된 건축양식입니다. 주로 상업건물이나, 규모가 큰 주택 등에 사용되며 요즘에는 전형적인 플랫폼 구조와 혼용되기도 합니다."
블록구조가 뭐야,블록구조는 조적식 구조법의 하나로 철근콘크리트가 발달된 이후에 나타난 비교적 새로운 구조입니다. 모르타르 또는 콘크리트 블록을 만들어서 벽돌재와 같은 방법으로 벽체를 구축하는 구조이며 철근콘크리트로 보강하여 사용하기도 합니다.
블록구조가 무엇인지 알려줄래?,블록구조는 조적식 구조법의 하나로 철근콘크리트가 발달된 이후에 나타난 비교적 새로운 구조입니다. 모르타르 또는 콘크리트 블록을 만들어서 벽돌재와 같은 방법으로 벽체를 구축하는 구조이며 철근콘크리트로 보강하여 사용하기도 합니다.
철골구조의 단점이 뭐야?,철골구조는 화재 발생시 철골이 녹아 건물의 붕괴로 이어질 수 있다는 단점이 있습니다.
철골구조의 단점을 알려줘,철골구조는 화재 발생시 철골이 녹아 건물의 붕괴로 이어질 수 있다는 단점이 있습니다.
콘크리트 구조는 어떤 방식이 있어?,"콘크리트는 철근콘크리트구조, 철골콘크리트구조, 철골철근콘크리트구조, 프리케스트콘크리트구조가 있습니다."
콘크리트 구조를 만드는 데 사용되는 주요 방식에는 어떤 것이 있나요?,"콘크리트는 철근콘크리트구조, 철골콘크리트구조, 철골철근콘크리트구조, 프리케스트콘크리트구조가 있습니다."
철골콘크리트 구조가 뭐야?,"철근콘크리트는 기둥, 보, 내력벽, 바닥 슬라브 등의 주요 구조부가 철근콘크리트 일체식 구조로 시공되며, 철근은 인장력과 압축력이 매우 강하고, 재료적 특징을 이용한 구조법이 철근콘크리트구조 입니다. 장점으로는 자유로운 형상, 일체화된 구조, 경제적인 제작, 내구성, 내화성, 내진성 등이 있으며, 단점으로는 비강도(자중에 비한 강도)가 작다는 점과 여러 가지 이유로 균열이 발생하기 쉽다는 점 등이 있습니다."
철골콘크리트 구조란 무엇인가요?,"철근콘크리트는 기둥, 보, 내력벽, 바닥 슬라브 등의 주요 구조부가 철근콘크리트 일체식 구조로 시공되며, 철근은 인장력과 압축력이 매우 강하고, 재료적 특징을 이용한 구조법이 철근콘크리트구조 입니다. 장점으로는 자유로운 형상, 일체화된 구조, 경제적인 제작, 내구성, 내화성, 내진성 등이 있으며, 단점으로는 비강도(자중에 비한 강도)가 작다는 점과 여러 가지 이유로 균열이 발생하기 쉽다는 점 등이 있습니다."
면진구조가 뭐야?,면진구조란 면진 장치를 사용해 지반과 건물을 분리시키는 방법을 의미합니다.
면진구조에 대해 좀 더 자세히 알 수 있을까요?,면진구조란 면진 장치를 사용해 지반과 건물을 분리시키는 방법을 의미합니다.
철골구조가 뭐야?,철골 구조는 수직의 강철 기둥과 수평의 형강으로 골격을 짜 건물의 하중을 떠받게 하고 내장재와 외장재 등은 커튼월 형식으로 장착하는 건축 기술입니다.
철골구조에 대해 좀 더 알려주시겠어요?,철골 구조는 수직의 강철 기둥과 수평의 형강으로 골격을 짜 건물의 하중을 떠받게 하고 내장재와 외장재 등은 커튼월 형식으로 장착하는 건축 기술입니다.
면진구조와 제진구조의 차이점이 뭐야?,"면진구조는 지진력이 구조물에 상대적으로 약하게 전달되도록 수평방향으로 유연한 장치를 이용하여 지면과 건물을 분리시킴으로 건물에 전달되는 지진의 영향을 최소화하는 구조이며, 제진구조는 지진발생 시 구조물로 전달된 지진력을 건물 내외부에 특수한 장치(탬퍼 등)을 설치하여 지진에 대한 구조물의 응답을 제어하는 구조를 말합니다."
면진구조와 제진구조의 차이점에 대해서 자세히 알려주시겠어요?,"면진구조는 지진력이 구조물에 상대적으로 약하게 전달되도록 수평방향으로 유연한 장치를 이용하여 지면과 건물을 분리시킴으로 건물에 전달되는 지진의 영향을 최소화하는 구조이며, 제진구조는 지진발생 시 구조물로 전달된 지진력을 건물 내외부에 특수한 장치(탬퍼 등)을 설치하여 지진에 대한 구조물의 응답을 제어하는 구조를 말합니다."
철근콘크리트 구조가 뭐야?,"철근콘크리트구조는 일반적으로 도심에서 가장 많이 이용하는 구조 중 하나입니다. 콘크리트의 인장응력의 약점을 철근으로 보완한 구조로 내구성이나 내화, 내진의 성능은 좋으나 강도에 비해서 자중이 커 중, 고층의 건물에서는 그 하중을 지지하기 위해 아래층의 보나 기둥의 단면이 커야 하는 문제가 있습니다."
철근콘크리트 구조의 특징과 장점은 무엇인가요?,"철근콘크리트구조는 일반적으로 도심에서 가장 많이 이용하는 구조 중 하나입니다. 콘크리트의 인장응력의 약점을 철근으로 보완한 구조로 내구성이나 내화, 내진의 성능은 좋으나 강도에 비해서 자중이 커 중, 고층의 건물에서는 그 하중을 지지하기 위해 아래층의 보나 기둥의 단면이 커야 하는 문제가 있습니다."
건축물의 구조는 어떻게 구분해?,"건축물의 구조는 목구조, 조적조, 철골구조, 콘크리트구조로 구별할 수 있습니다."
건축물의 구조를 구분하는 데 어떤 기준을 활용해야 하나요?,"건축물의 구조는 목구조, 조적조, 철골구조, 콘크리트구조로 구별할 수 있습니다."
조적식 구조는 어떤 방식이 있어?,"조적식 구조는 벽돌구조, 블록구조, 석구조가 있습니다."
조적식 구조의 다양한 방식에 대해 알려주세요.,"조적식 구조는 벽돌구조, 블록구조, 석구조가 있습니다."
목구조는 어떤 방식이 있어?,"목구조는 통나무구조 방식, 중목구조 방식, 기둥-보 구조방식, 경량목구조 방식이 있습니다."
목구조에는 어떤 종류의 방식이 있는지 알려주세요.,"목구조는 통나무구조 방식, 중목구조 방식, 기둥-보 구조방식, 경량목구조 방식이 있습니다."
경량철골구조가 뭐야?,"경량철골구조는 약 1.5~3mm 두께의 철골을 사용하며 각각 파이프, C형 찬넬, LEB 자재 등을 말합니다. 주로 주택, 장고, 농자재 등에 사용되며 가성비가 높은 자재입니다."
경량철골구조는 어떤 구조인가요?,"경량철골구조는 약 1.5~3mm 두께의 철골을 사용하며 각각 파이프, C형 찬넬, LEB 자재 등을 말합니다. 주로 주택, 장고, 농자재 등에 사용되며 가성비가 높은 자재입니다."
석구조가 뭐야?,"석구조는 석재로 쌓아 올리는 구조로 궁전, 불사, 탑비 등의 고건물에서 볼 수 있는데 풍압력, 지진력, 기타 인위적 횡력에는 극히 약하므로 고층 건물에는 부적절하며 보강구조로 해야 합니다."
석구조에 대해서 알려줘,"석구조는 석재로 쌓아 올리는 구조로 궁전, 불사, 탑비 등의 고건물에서 볼 수 있는데 풍압력, 지진력, 기타 인위적 횡력에는 극히 약하므로 고층 건물에는 부적절하며 보강구조로 해야 합니다."
화재에 취약한 철골구조의 보완법에 뭐가 있을까?,"철골구조는 화재 발생 시 내구성이 약해지며, 이는 건물의 붕괴로 이어질 수 있습니다. 이를 해결하기 위해 벽돌, 콘크리트 또는 석고보드와 같은 내화성 구조물을 둘러싸 화재에 의한 파손을 예방합니다."
철골구조의 화재 대비 보완법은 어떤 것들이 있나요?,"철골구조는 화재 발생 시 내구성이 약해지며, 이는 건물의 붕괴로 이어질 수 있습니다. 이를 해결하기 위해 벽돌, 콘크리트 또는 석고보드와 같은 내화성 구조물을 둘러싸 화재에 의한 파손을 예방합니다."
프리케스트콘크리트 구조가 뭐야?,"프리케스트콘크리트 구조란 PC라고도 불리며, 건축물의 벽, 슬래브(SLAB), 보 등의 콘크리트 부재를 공장에서 미리 제작하여 현장에서 조립하는 공법입니다. 공장에서 안정된 환경에서 품질관리와 대량생산이 가능하여 품질 확보 및 원가절감이 가능하고, 현장에서는 일부 구간 RC(철근콘크리트) 공법과 병행하여 공장 생산 PC 부재와의 연결을 통해 공기 단축이 가능하다는 장점이 있습니다."
프리케스트 콘크리트 구조란 무엇인가요?,"프리케스트콘크리트 구조란 PC라고도 불리며, 건축물의 벽, 슬래브(SLAB), 보 등의 콘크리트 부재를 공장에서 미리 제작하여 현장에서 조립하는 공법입니다. 공장에서 안정된 환경에서 품질관리와 대량생산이 가능하여 품질 확보 및 원가절감이 가능하고, 현장에서는 일부 구간 RC(철근콘크리트) 공법과 병행하여 공장 생산 PC 부재와의 연결을 통해 공기 단축이 가능하다는 장점이 있습니다."
제진구조가 뭐야?,"제진구조란 지진이 발생 시 관성에 의하여 진동을 일으키는 지진 에너지가 발생되는데, 이 지진 에너지를 감소시키는 장치를 이용하여 건축물의 피해를 줄이는 방법을 의미합니다."
제진구조란 무엇인가요?,"제진구조란 지진이 발생 시 관성에 의하여 진동을 일으키는 지진 에너지가 발생되는데, 이 지진 에너지를 감소시키는 장치를 이용하여 건축물의 피해를 줄이는 방법을 의미합니다."
통나무구조 방식이 뭐야?,통나무구조 방식은 원형 또는 각형의 내력벽으로 하고 나머지 바닥이나 지붕구조는 2x4경량 목구조와 동일한 구조로 구성된다. 벽체가 통나무를 쌓는 구조이기 때문에 1개층 높이에서 7~12cm의 침하가 장기적으로 발생하게 되므로 창문틀 등의 개구부에는 침하를 고려한 디테일을 만들어야 합니다.
통나무구조 방식이 무엇인가요?,통나무구조 방식은 원형 또는 각형의 내력벽으로 하고 나머지 바닥이나 지붕구조는 2x4경량 목구조와 동일한 구조로 구성된다. 벽체가 통나무를 쌓는 구조이기 때문에 1개층 높이에서 7~12cm의 침하가 장기적으로 발생하게 되므로 창문틀 등의 개구부에는 침하를 고려한 디테일을 만들어야 합니다.
일반철골구조가 뭐야?,"일반철골구조는 형강, 강판, 평강 등의 강재를 볼트, 용접 등으로 접합하여 조립한 것을 주요한 뼈대로 한 구조를 의미합니다."
일반철골구조란 무엇인가요?,"일반철골구조는 형강, 강판, 평강 등의 강재를 볼트, 용접 등으로 접합하여 조립한 것을 주요한 뼈대로 한 구조를 의미합니다."
내진설계에서 안정성이 높은 순서대로 말해줘,"내진설계는 면진구조, 제진구조, 내진구조 순으로 안정성이 높습니다."
내진설계에서 안전성을 높이기 위한 순서는 무엇인가요?,"내진설계는 면진구조, 제진구조, 내진구조 순으로 안정성이 높습니다."
경량목구조 방식이 뭐야?,"경량목구조 방식은 투바이포 공법이라고도 불리며 2x4(inch)의 각재를 사용하여 수평 및 수직 격판이 상호 긴밀하게 결합되어 수평, 수직 하중에 저항하는 상자형 구조로 설계상 거의 제약이 없어 원하는 구조와 디자인을 연출할 수 있으며 지진에도 강한 저항능력을 가집니다. 경량목구조는 가벼운 목재를 사용하기 때문에 붙여진 이름이지만 200년 이상 활용되어 왔으며, 오늘날 가장 대중적읜 건축양식으로 미국, 캐나다 등 일반 주택의 대부분이 이 방식으로 건축됐습니다."
경량목구조 방식은 무엇인가요?,"경량목구조 방식은 투바이포 공법이라고도 불리며 2x4(inch)의 각재를 사용하여 수평 및 수직 격판이 상호 긴밀하게 결합되어 수평, 수직 하중에 저항하는 상자형 구조로 설계상 거의 제약이 없어 원하는 구조와 디자인을 연출할 수 있으며 지진에도 강한 저항능력을 가집니다. 경량목구조는 가벼운 목재를 사용하기 때문에 붙여진 이름이지만 200년 이상 활용되어 왔으며, 오늘날 가장 대중적읜 건축양식으로 미국, 캐나다 등 일반 주택의 대부분이 이 방식으로 건축됐습니다."
조적식 구조가 뭐야?,"조적식 구조는 벽돌 또는 콘크리트 블록을 모르타르로 점착하여 쌓는 구조로서 주택과 같은 소규모 건물에 쓰이며 내습, 내구성이 좋고 내화구조이며 경제적이어서 가장 보편적인 방식으로 평가됩니다. 단, 수평방향의 외력에 대하여 약점으로 보이며 단일 벽체면으로 쌓을 수 있는 수평, 수직적인 한계가 있습니다."
조적식 구조에 대해 좀 더 자세히 설명해 주실 수 있을까요?,"조적식 구조는 벽돌 또는 콘크리트 블록을 모르타르로 점착하여 쌓는 구조로서 주택과 같은 소규모 건물에 쓰이며 내습, 내구성이 좋고 내화구조이며 경제적이어서 가장 보편적인 방식으로 평가됩니다. 단, 수평방향의 외력에 대하여 약점으로 보이며 단일 벽체면으로 쌓을 수 있는 수평, 수직적인 한계가 있습니다."
벽돌구조가 뭐야?,"벽돌구조는 건물의 벽체 및 기초 등으로 벽돌과 모르타르로 쌓아 만드는 것으로 조적식 구조의 기본입니다. 벽돌구조법은 실용상, 미관상으로 블록, 석재, 타일 등을 섞어 쓰기도 하고 담장, 굴뚝, 기타 여러가지 구조물을 축조하는데 이용합니다."
벽돌구조가 뭔지 알려줄래?,"벽돌구조는 건물의 벽체 및 기초 등으로 벽돌과 모르타르로 쌓아 만드는 것으로 조적식 구조의 기본입니다. 벽돌구조법은 실용상, 미관상으로 블록, 석재, 타일 등을 섞어 쓰기도 하고 담장, 굴뚝, 기타 여러가지 구조물을 축조하는데 이용합니다."
아세톤에 노출되면 어디가 안좋아?,"아세톤은 페인트와 같은 물질에 있는 독성물질로, 이에 노출되면 언어장애, 두통, 협응력 부족, 무기력 및 저혈압을 유발할 수 있는 아주 위험한 물질입니다."
아세톤에 노출되면 발생할 수 있는 문제가 뭐야?,"아세톤은 페인트와 같은 물질에 있는 독성물질로, 이에 노출되면 언어장애, 두통, 협응력 부족, 무기력 및 저혈압을 유발할 수 있는 아주 위험한 물질입니다."
공동주택의 실내 라돈의 측정지점은 어떻게 돼?,공동주택의 실내 라돈은 최저층에서 측정하며 공동주택의 총 세대수가 100세대일 때 3세대를 측정하고 이후 100세대가 증가할 때마다 1세대씩 추가하며 최대 12세대까지 시료를 채취합니다.
공동주택의 실내 라돈 측정지점을 어디에 정하는 것이 가장 적합한가요?,공동주택의 실내 라돈은 최저층에서 측정하며 공동주택의 총 세대수가 100세대일 때 3세대를 측정하고 이후 100세대가 증가할 때마다 1세대씩 추가하며 최대 12세대까지 시료를 채취합니다.
소화기 설치 기준이 뭐야?,"소화기 설치 기준은 연면적 3.3제곱미터마다 설치해야 하고 각층마다 설치해야 하며 소형소화기의 경우 보행거리 20m마다 1개 이상, 대형 소화기인 경우 보행거리 30m 이내마다 1개 이상 설치해야 합니다."
소화기를 설치하는데 필요한 기준은 무엇인가요?,"소화기 설치 기준은 연면적 3.3제곱미터마다 설치해야 하고 각층마다 설치해야 하며 소형소화기의 경우 보행거리 20m마다 1개 이상, 대형 소화기인 경우 보행거리 30m 이내마다 1개 이상 설치해야 합니다."
아파트 도배평수는 어떻게 게산해?,아파트 도배평수는 일반적으로 분양 평수*2.5로 계산합니다.
아파트 도배를 평수를 어떻게 계산해야 하나요?,아파트 도배평수는 일반적으로 분양 평수*2.5로 계산합니다.
방수와 발수의 차이가 뭐야?,"방수는 제품 표면에 파라핀, 플라스틱이 우레탄 같은 코팅막을 형성해서 제품에 소수성을 가지게 하는 것이며, 발수는 표면에 보이지 않는 막을 형성해 물이 굴러가게 하거나, 튕겨내는 것을 의미합니다."
방수와 발수의 차이점은 무엇인가요?,"방수는 제품 표면에 파라핀, 플라스틱이 우레탄 같은 코팅막을 형성해서 제품에 소수성을 가지게 하는 것이며, 발수는 표면에 보이지 않는 막을 형성해 물이 굴러가게 하거나, 튕겨내는 것을 의미합니다."
건설이 뭐야?,건설은 건축과 토목의 총칭으로 보통 건물을 짓거나 만들거나 하는 일을 의미합니다.
건설업은 어떤 종류의 활동을 포함하나요?,건설은 건축과 토목의 총칭으로 보통 건물을 짓거나 만들거나 하는 일을 의미합니다.
토목이 뭐야?,"토목이란 목재, 철재, 토석 등을 써서 도로, 교량, 항만, 제방, 철도, 건물, 상하수도 등을 건설하는 공사를 의미합니다."
토목이란 무엇인가요?,"토목이란 목재, 철재, 토석 등을 써서 도로, 교량, 항만, 제방, 철도, 건물, 상하수도 등을 건설하는 공사를 의미합니다."
층간소음의 기준이 뭐야?,"층간소음의 기준은 1분을 기준으로 주간에는 40dB, 야간에는 3dB을 넘을 경우에 층간소음으로 분류되며 최고 소음이 주간 55dB, 야간 50dB을 넘을 경우 층간소음 피해가 적용됩니다."
층간소음이 발생하는 기준은 어떤 것인가요?,"층간소음의 기준은 1분을 기준으로 주간에는 40dB, 야간에는 3dB을 넘을 경우에 층간소음으로 분류되며 최고 소음이 주간 55dB, 야간 50dB을 넘을 경우 층간소음 피해가 적용됩니다."
흡음이 뭐야?,"흡음이란 입사된 음의 에너지가 재료 내에서 공기의 점성이나 재료소자의 진동으로 열에너지로 변화하거나 없어지는 것으로 재료의 종류와 취부 방법, 구조 등에 따라 차이가 발생한다."
흡음이란 무엇인가요?,"흡음이란 입사된 음의 에너지가 재료 내에서 공기의 점성이나 재료소자의 진동으로 열에너지로 변화하거나 없어지는 것으로 재료의 종류와 취부 방법, 구조 등에 따라 차이가 발생한다."
새집증후군이 뭐야?,"새집증후군이란 주택, 및 건축물 등 생활환경 속에서 일어나는 화학물질 과민증으로 신축 및 리모델링, 인테리어 공사 등 후에 발생하는 유해한 휘발성 물질에 의해서 실내공기가 오염되어 눈과 목에 통증이 생기거나 두통, 천식, 아토피성피부염 등의 질환이 발생한 것을 의미합니다."
새집증후군에 대해 좀 더 알려주세요.,"새집증후군이란 주택, 및 건축물 등 생활환경 속에서 일어나는 화학물질 과민증으로 신축 및 리모델링, 인테리어 공사 등 후에 발생하는 유해한 휘발성 물질에 의해서 실내공기가 오염되어 눈과 목에 통증이 생기거나 두통, 천식, 아토피성피부염 등의 질환이 발생한 것을 의미합니다."
라돈을 제외한 공동주택의 실내공기질 측정지점이 어떻게 돼?,"라돈을 제외한 공동주택의 실내공기질 측정시료는 실내공기질공정시험기준에 의하여 100세대일 때 3개 세대(저층부,  중층부, 고층부)룰 기본으로 하며 100세대가 증가할 때마다 1세대씩 추가하며 최대 20세대까지 시료를 채취하며 이때 중층부, 저층부, 고층부 순으로 증가합니다."
공동주택의 실내공기질을 측정하기 위한 지점 설정은 어떻게 하는 게 좋을까요?,"라돈을 제외한 공동주택의 실내공기질 측정시료는 실내공기질공정시험기준에 의하여 100세대일 때 3개 세대(저층부,  중층부, 고층부)룰 기본으로 하며 100세대가 증가할 때마다 1세대씩 추가하며 최대 20세대까지 시료를 채취하며 이때 중층부, 저층부, 고층부 순으로 증가합니다."
사무실의 실내공기 시료채취 및 측정지점이 어떻게 돼?,"실내공기의 측정시료는 사무실 안에서 공기질이 가장 나쁠 것으로 예상되는 2곳 이상에서 채취하고, 측정은 사무실 바닥면으로부터 0.9미터 이상 1.5미터 이하의 높이에서 합니다. 다만, 사무실 면적이 500제곱미터를 초과하는 경우에는 500제곱미터마다 1곳씩 추가해야 합니다."
사무실의 실내공기 측정을 위해 어떤 장비가 필요한가요?,"실내공기의 측정시료는 사무실 안에서 공기질이 가장 나쁠 것으로 예상되는 2곳 이상에서 채취하고, 측정은 사무실 바닥면으로부터 0.9미터 이상 1.5미터 이하의 높이에서 합니다. 다만, 사무실 면적이 500제곱미터를 초과하는 경우에는 500제곱미터마다 1곳씩 추가해야 합니다."
소화기 종류는 뭐가 있어?,"소화기 종류는 ABC 소화기, 분말 소화기, 이산화탄소 소화기가 있습니다."
어떤 종류의 소화기가 있나요?,"소화기 종류는 ABC 소화기, 분말 소화기, 이산화탄소 소화기가 있습니다."
새집증후군을 예방하는 방법이 뭐야?,"새집증후군을 예방하는 방법은 실내흡연을 하지않고 포르말린을 사용하지 않은 목재 가구와 휘발성 물질, 화학물질이 함유된 방향제를 사용하지 않으며 공기 청정 식물을 키우고 환기를 자주시켜야 합니다."
새집증후군을 예방하기 위해 사용할 수 있는 실용적인 방법이 있을까요?,"새집증후군을 예방하는 방법은 실내흡연을 하지않고 포르말린을 사용하지 않은 목재 가구와 휘발성 물질, 화학물질이 함유된 방향제를 사용하지 않으며 공기 청정 식물을 키우고 환기를 자주시켜야 합니다."
분말 소화기가 뭐야?,분말 소화기는 탄산수소 나트륨 분말을 이용해 질소나 이산화탄소 등 불연성 고압가스에 의해 소화약제를 방사하여 불을 질식소화 시키는 방식의 소화기입니다.
분말 소화기는 어떤 용도로 사용되나요?,분말 소화기는 탄산수소 나트륨 분말을 이용해 질소나 이산화탄소 등 불연성 고압가스에 의해 소화약제를 방사하여 불을 질식소화 시키는 방식의 소화기입니다.
건축이 뭐야?,건축은 건물이나 다른 구조물을 계획하고 설게하고 건설하는 과정과 그 결과물을 의미합니다.
건축은 정확히 어떤 것을 의미하나요?,건축은 건물이나 다른 구조물을 계획하고 설게하고 건설하는 과정과 그 결과물을 의미합니다.
마감재의 하자여부는 어떻게 판단해?,"마감재의 하자 여부는 설계도서와의 일치 여부, 기능상의 문제 여부, 미관상의 문제 여부, 안전상의 문제 여부 등이 있습니다."
마감재의 하자를 어떻게 확인할 수 있을까요?,"마감재의 하자 여부는 설계도서와의 일치 여부, 기능상의 문제 여부, 미관상의 문제 여부, 안전상의 문제 여부 등이 있습니다."
분말 소화기를 사용할 때 주의할 점이 뭐야?,"분말 소화기를 사용할 때 주의할 점은 압력계의 눈금 위치가 초록색에 있는지 확인, 받침대를 사용하여 소화기 부식방지, 한달에 한번 흔들어 분말 굳어짐 방지, 직사광선 및 고온 다습한 장소 피하기, 사용 후 내부 약재를 완전히 제거 등이 있습니다."
분말 소화기를 사용할 때에는 어떤 주의사항이 있을까요?,"분말 소화기를 사용할 때 주의할 점은 압력계의 눈금 위치가 초록색에 있는지 확인, 받침대를 사용하여 소화기 부식방지, 한달에 한번 흔들어 분말 굳어짐 방지, 직사광선 및 고온 다습한 장소 피하기, 사용 후 내부 약재를 완전히 제거 등이 있습니다."
새집증후군의 원인이 뭐야?,"새집증후군은 새솔 지은 집에 입주했을 때 이전에 없던 이상 증상이 신체에 나타나는 것을 통칭하며, 휘발성 화학물질에 의해 발생합니다. 대표적인 물질은 포름알데히드입니다. 포름알데히드는 주로 방부제, 접착제의 원료로 사용됩니다."
새집증후군은 어떤 원리로 발생하나요?,"새집증후군은 새솔 지은 집에 입주했을 때 이전에 없던 이상 증상이 신체에 나타나는 것을 통칭하며, 휘발성 화학물질에 의해 발생합니다. 대표적인 물질은 포름알데히드입니다. 포름알데히드는 주로 방부제, 접착제의 원료로 사용됩니다."
ABC 소화기가 뭐야?,"ABC 소화기는 일반적으로 가장 많이 볼 수 있는 소화기로 A는 연소 후 재를 남기는 특성을 고려하여 A급 일반화재를 말하고, B는 유류에 의한 B급 유류 화재, C는 전기에 의한 전기 화재 C급 화재를 뜻합니다."
ABC 소화기란 무엇인가요?,"ABC 소화기는 일반적으로 가장 많이 볼 수 있는 소화기로 A는 연소 후 재를 남기는 특성을 고려하여 A급 일반화재를 말하고, B는 유류에 의한 B급 유류 화재, C는 전기에 의한 전기 화재 C급 화재를 뜻합니다."
