t_no,date,day,time,cusno,product,price,quantity,amount,gender,age,region,year
2205,2021-10-19,화,15,823,20,65867.6614579137,300.2378069663357,19775962.226125043,1,77,6,2021
3138,2020-03-06,금,3,823,30,62450.2032351008,118.90978617774957,7425940.31344284,1,77,6,2020
3183,2020-05-26,화,24,823,20,54699.17592099373,127.29851758784548,6963124.008019274,1,77,6,2020
3850,2020-11-14,토,5,823,10,43713.2942785685,184.26790711447336,8054957.2497909,1,77,6,2020
4371,2020-04-30,목,22,823,20,34230.74842739873,265.7431126726289,9096585.636210635,1,77,6,2020
4934,2020-03-07,토,20,823,20,49394.96754913671,137.9844610861516,6815737.977635575,1,77,6,2020
5476,2021-10-18,월,4,823,10,67888.90436390432,162.66082570569895,11042865.240087906,1,77,6,2021
8089,2021-09-23,목,7,823,30,58771.8395950441,220.7697259004002,12975042.918060174,1,77,6,2021
8177,2021-08-18,수,20,823,10,38050.55200990662,173.38884846006815,6597541.39626764,1,77,6,2021
19,2021-01-23,토,24,187,20,58191.11114831274,159.68531945658634,9292266.173252042,0,53,4,2021
885,2021-01-30,토,14,187,10,61202.237698317214,198.6332082741383,12156796.827573162,0,53,4,2021
1531,2021-04-18,일,8,187,20,43187.20107925584,185.9518698277663,8030740.793315349,0,53,4,2021
2993,2021-10-20,수,3,187,10,57914.94957966595,218.74259366970176,12668466.283306131,0,53,4,2021
3581,2021-08-21,토,17,187,20,56559.162183850334,230.03581334097305,13010632.874846015,0,53,4,2021
5688,2021-03-20,토,23,187,20,39509.27772926824,187.443833640528,7405770.481942373,0,53,4,2021
5958,2021-12-14,화,23,187,10,60811.46859303778,186.783177106542,11358559.308322292,0,53,4,2021
7836,2020-05-25,월,16,187,30,63692.86943200376,183.42494606539776,11682861.140315711,0,53,4,2020
9328,2020-07-25,토,19,187,30,71106.07517017606,195.32340691871656,13888680.854857149,0,53,4,2020
20,2021-11-26,금,17,395,20,70690.90364072393,176.5485429206028,12480376.035510547,1,67,10,2021
1863,2021-11-02,화,22,395,30,36177.89083936223,174.13531222749742,6299848.31704466,1,67,10,2021
3935,2020-04-20,월,5,395,10,42421.16920961293,225.93257425606808,9584323.962480104,1,67,10,2020
4193,2021-11-22,월,11,395,10,63043.4911361929,239.75496517736133,15114990.022017216,1,67,10,2021
4729,2021-06-10,목,8,395,20,63025.7579771774,108.93879036371834,6865949.835790177,1,67,10,2021
5465,2020-12-31,목,13,395,20,63043.66741647471,174.59519325623836,11007121.29616142,1,67,10,2020
6536,2021-04-18,일,12,395,10,110419.72247484044,144.36592664062226,15940845.554480685,1,67,10,2021
7136,2021-03-05,금,8,395,10,63836.316713970125,160.70775229492438,10258990.973889053,1,67,10,2021
8005,2020-12-12,토,16,395,20,71851.47980096808,191.57611940844373,13765027.674023643,1,67,10,2020
9124,2021-12-29,수,11,395,20,69274.30930706294,203.1242533930881,14071292.357319014,1,67,10,2021
21,2020-05-14,목,5,306,20,64978.96764888919,169.31059347825075,11001627.576237485,1,71,8,2020
1051,2020-02-19,수,16,306,10,51257.90730787569,91.3827840796951,4684090.27589263,1,71,8,2020
1386,2020-10-07,수,17,306,10,66505.9606446464,132.40985655535115,8806044.70903346,1,71,8,2020
4352,2020-07-16,목,13,306,10,44763.2247397152,212.94784496702775,9532232.242097097,1,71,8,2020
5612,2020-09-12,토,10,306,10,52371.45848839429,55.59968953089317,2911836.832234782,1,71,8,2020
8191,2020-08-12,수,15,306,30,48843.53927742127,225.53454632303863,11015905.471744724,1,71,8,2020
9511,2020-04-11,토,12,306,30,56895.07605441751,196.71215846373167,11191953.21662264,1,71,8,2020
22,2020-12-06,일,12,75,20,88587.8678709454,231.1047465724236,20473076.75370618,0,42,1,2020
63,2020-07-12,일,20,75,20,29228.42525067569,165.5707302367752,4839371.7124253735,0,42,1,2020
421,2020-03-17,화,3,75,30,65473.907515569765,84.97688852531505,5563768.940267359,0,42,1,2020
2797,2021-08-06,금,12,75,30,32841.572382858474,192.7808688489197,6331226.858332144,0,42,1,2021
4913,2020-09-01,화,12,75,20,49034.19248040256,229.30829522755892,11243947.0855411,0,42,1,2020
5596,2021-06-12,토,14,75,30,71189.81231438926,214.1688488646573,15246640.154263752,0,42,1,2021
5980,2021-11-17,수,9,75,30,56645.33999178712,145.490919590135,8241382.605900958,0,42,1,2021
6793,2020-11-07,토,3,75,20,40435.107736900834,177.91527321930351,7194023.240662686,0,42,1,2020
23,2021-06-28,월,10,878,30,45579.70172220265,151.10898220397482,6887502.3364028,1,14,10,2021
129,2020-03-30,월,16,878,30,65379.33888325486,138.71685166134105,9069216.053585012,1,14,10,2020
285,2020-11-16,월,22,878,30,45365.89421810627,215.49561737422565,9776151.382264623,1,14,10,2020
438,2020-04-03,금,7,878,20,58805.40689946691,122.35153881406116,7194932.024736785,1,14,10,2020
1409,2020-04-25,토,14,878,30,56379.79065297001,135.4915181235798,7638983.427060521,1,14,10,2020
3871,2021-03-11,목,22,878,10,46483.92577278464,126.39701647803324,5875429.531866333,1,14,10,2021
5471,2021-01-05,화,18,878,10,86164.69690802493,109.68749299251866,9451189.588301478,1,14,10,2021
5933,2021-08-31,화,5,878,20,64730.96174688036,180.49611300685345,11683686.986507224,1,14,10,2021
6202,2020-07-03,금,6,878,10,26987.46758296904,224.4129646036386,6056337.607438676,1,14,10,2020
24,2020-04-16,목,4,502,20,58379.51749267124,166.1631202522236,9700522.78540152,1,15,3,2020
941,2021-12-09,목,8,502,30,46339.34106200521,109.01688820854396,5051770.764214213,1,15,3,2021
1034,2021-11-13,토,13,502,30,67832.61747757619,210.5010409263745,14278836.587790374,1,15,3,2021
1084,2021-01-28,목,10,502,30,44483.66074289704,247.09192406252703,10991553.32230713,1,15,3,2021
3252,2021-10-08,금,2,502,30,54104.32826356223,146.2025768565218,7910192.211223942,1,15,3,2021
3938,2021-04-03,토,9,502,30,62900.86706769818,153.45744150209038,9652606.128472056,1,15,3,2021
4218,2020-12-23,수,15,502,20,68021.71182568528,196.47120536514484,13364307.713392915,1,15,3,2020
9255,2021-12-29,수,17,502,30,38695.57425520212,244.33046595370448,9454507.688119704,1,15,3,2021
9391,2020-01-23,목,12,502,20,50984.92282899407,151.67150671712847,7732960.06533005,1,15,3,2020
9831,2020-03-04,수,9,502,20,48991.418760000815,116.5144625413458,5708208.825959501,1,15,3,2020
25,2020-05-11,월,11,112,10,46459.38547651036,201.4793643346793,9360607.45318714,1,25,9,2020
1234,2020-09-28,월,14,112,30,80792.3018644953,208.7325593963412,16863983.947697893,1,25,9,2020
1474,2020-04-28,화,9,112,30,61481.358937400735,174.4269090211257,10724003.401869172,1,25,9,2020
1657,2021-09-15,수,14,112,10,37835.57698044106,150.0145319039916,5675886.370038305,1,25,9,2021
3149,2020-01-15,수,9,112,30,68761.33023721956,217.18248963146164,14933756.891290449,1,25,9,2020
4293,2020-05-02,토,20,112,10,85855.43322508798,197.00661419541743,16914088.209955335,1,25,9,2020
5863,2020-09-30,수,24,112,20,70388.04301420615,140.91600435008573,9918801.775583897,1,25,9,2020
6141,2020-04-24,금,11,112,30,34166.551321892395,176.28567458990705,6023073.548190481,1,25,9,2020
26,2020-12-29,화,16,740,30,48859.57137367838,115.68129422144833,5652138.451612342,0,63,9,2020
1706,2020-01-27,월,19,740,20,73715.8361723628,203.8360372307924,15025943.92652874,0,63,9,2020
4936,2020-04-22,수,2,740,10,45688.06439772112,162.8163511541094,7438763.936530925,0,63,9,2020
5872,2021-06-23,수,13,740,10,62032.63279543169,155.31102202417924,9634351.598309116,0,63,9,2021
6676,2020-03-06,금,14,740,10,66728.31184121344,172.7393542399376,11526605.49697239,0,63,9,2020
6935,2021-01-18,월,7,740,10,42575.8098824952,175.90551199159546,7489319.635837149,0,63,9,2021
8773,2021-03-23,화,9,740,30,54888.01047413476,212.8799373392266,11684556.230408622,0,63,9,2021
9041,2020-05-16,토,15,740,10,9725.438986852148,199.73460844899395,1942506.748033494,0,63,9,2020
27,2020-06-15,월,10,301,10,41192.47445863424,167.39473864464244,6895403.496129189,1,16,8,2020
906,2020-01-11,토,8,301,20,52147.904869067104,207.2010153088412,10805098.835099565,1,16,8,2020
2080,2021-05-15,토,7,301,20,38021.53315529166,191.49915456368728,7281091.454453559,1,16,8,2021
2188,2020-05-23,토,4,301,20,78903.85171550082,155.7052092756079,12285740.744013589,1,16,8,2020
3736,2021-09-08,수,10,301,20,35433.08786200649,168.76582489626767,5979894.301653455,1,16,8,2021
4446,2021-10-30,토,9,301,30,49486.81121725912,167.7489150358024,8301358.890276794,1,16,8,2021
5620,2021-05-17,월,3,301,10,57588.70049224751,196.02129008737603,11288611.364945864,1,16,8,2021
7200,2020-09-15,화,18,301,20,76190.7831185842,158.28275256678194,12059686.872228209,1,16,8,2020
7203,2020-05-28,목,13,301,20,35351.885542410644,157.27095473926352,5559824.791088088,1,16,8,2020
7828,2020-05-03,일,18,301,20,72243.21543233636,259.338054008107,18735414.90551056,1,16,8,2020
8087,2021-11-04,목,7,301,30,55878.18174324249,214.8184013168584,12003661.670576217,1,16,8,2021
