t_no,date,day,time,cusno,product,price,quantity,amount,gender,age,region
9418,2021-11-27,토,3,26,30,30251.65,16.2,490076.73,1,28,3
9964,2021-05-01,토,1,26,20,20128.38,1.7999999999999998,36231.083999999995,1,28,3
6,2020-09-24,목,18,988,20,30839.06,22.2,684627.132,1,61,4
550,2020-02-19,수,22,988,30,8548.24,12.6,107707.824,1,61,4
1182,2021-06-13,일,9,988,20,21228.03,24.0,509472.72,1,61,4
1615,2021-12-23,목,20,988,20,21253.26,20.4,433566.50399999996,1,61,4
2883,2020-12-13,일,5,988,20,35492.25,11.1,393963.975,1,61,4
3724,2021-11-09,화,14,988,30,8888.98,4.8,42667.104,1,61,4
4126,2021-01-29,금,9,988,30,49800.42,25.8,1284850.836,1,61,4
6027,2021-07-09,금,8,988,20,49318.16,8.4,414272.54400000005,1,61,4
6647,2021-01-25,월,19,988,10,47572.34,34.8,1655517.4319999998,1,61,4
7865,2020-03-27,금,12,988,10,31117.66,2.4,74682.38399999999,1,61,4
9252,2020-05-01,금,5,988,20,19371.63,21.3,412615.71900000004,1,61,4
9358,2020-10-22,목,21,988,10,13508.08,33.6,453871.488,1,61,4
7,2021-11-25,목,7,60,10,48365.71,1.2,58038.852,1,29,5
463,2021-11-15,월,5,60,30,38966.48,6.0,233798.88,1,29,5
1169,2021-01-22,금,2,60,20,2541.01,21.0,53361.21000000001,1,29,5
2750,2021-11-29,월,4,60,20,7736.53,1.2,9283.836,1,29,5
3748,2021-11-10,수,16,60,10,17920.15,108.0,1935376.2000000002,1,29,5
4827,2020-04-02,목,19,60,20,39212.7,57.599999999999994,2258651.5199999996,1,29,5
6263,2020-04-05,일,8,60,20,32393.93,50.4,1632654.072,1,29,5
7496,2020-09-14,월,4,60,30,28105.35,36.6,1028655.8099999999,1,29,5
7820,2020-10-16,금,19,60,30,11073.73,42.0,465096.66,1,29,5
8,2020-08-14,금,19,496,10,8762.12,77.0,674683.2400000001,0,44,3
388,2020-08-28,금,23,496,20,25938.61,8.0,207508.88,0,44,3
1962,2021-10-12,화,7,496,20,26844.04,24.0,644256.96,0,44,3
2728,2021-04-09,금,19,496,20,9187.89,27.0,248073.02999999997,0,44,3
2757,2020-11-21,토,4,496,30,27590.61,5.5,151748.355,0,44,3
5508,2020-11-02,월,15,496,30,47784.33,52.0,2484785.16,0,44,3
5839,2020-12-13,일,17,496,10,27878.8,33.0,920000.4,0,44,3
7529,2020-09-30,수,16,496,30,24673.78,22.0,542823.1599999999,0,44,3
7751,2021-10-03,일,14,496,10,1516.05,26.0,39417.299999999996,0,44,3
8654,2021-11-24,수,16,496,30,2090.86,91.0,190268.26,0,44,3
8750,2021-06-30,수,7,496,10,19080.71,71.0,1354730.41,0,44,3
9,2020-01-15,수,11,92,20,20487.08,15.5,317549.74000000005,0,74,4
567,2021-02-28,일,15,92,30,41153.05,15.5,637872.275,0,74,4
751,2021-12-26,일,15,92,20,7976.18,44.0,350951.92000000004,0,74,4
2606,2020-06-24,수,8,92,30,46845.68,79.0,3700808.72,0,74,4
2852,2020-04-16,목,17,92,30,9442.7,0.5,4721.35,0,74,4
3438,2020-12-23,수,9,92,20,38748.88,23.0,891224.24,0,74,4
4673,2021-03-07,일,2,92,10,40556.65,41.5,1683100.975,0,74,4
5420,2021-10-18,월,2,92,10,21978.13,10.75,236264.89750000002,0,74,4
6224,2020-05-18,월,10,92,20,14233.87,48.0,683225.76,0,74,4
6444,2021-01-03,일,18,92,30,29893.09,5.5,164411.995,0,74,4
7972,2020-02-21,금,1,92,20,11585.92,15.0,173788.8,0,74,4
10,2021-10-02,토,20,53,30,32014.91,58.8,1882476.7079999999,1,19,2
1291,2020-03-06,금,6,53,20,36479.78,27.599999999999998,1006841.9279999998,1,19,2
2207,2021-12-25,토,11,53,30,19048.95,19.2,365739.84,1,19,2
4192,2021-07-03,토,6,53,30,19434.87,47.4,921212.8379999999,1,19,2
4707,2020-10-19,월,8,53,20,23259.51,38.4,893165.1839999999,1,19,2
6033,2020-04-27,월,8,53,20,28840.24,6.0,173041.44,1,19,2
7285,2021-05-29,토,16,53,30,3292.88,15.6,51368.928,1,19,2
7520,2021-04-09,금,16,53,10,49931.19,201.6,10066127.904000001,1,19,2
9950,2020-10-17,토,1,53,10,11744.27,3.5999999999999996,42279.371999999996,1,19,2
11,2020-08-08,토,4,128,30,11134.86,23.75,264452.925,0,74,10
2095,2021-05-31,월,15,128,20,37355.42,32.0,1195373.44,0,74,10
2276,2021-08-06,금,5,128,10,10077.53,14.75,148643.5675,0,74,10
4588,2020-06-17,수,12,128,10,47987.96,10.0,479879.6,0,74,10
5108,2020-02-06,목,8,128,10,40142.03,17.5,702485.525,0,74,10
6341,2020-06-19,금,4,128,20,6834.62,24.75,169156.845,0,74,10
8067,2020-12-28,월,18,128,30,45965.63,4.5,206845.335,0,74,10
8245,2020-09-07,월,14,128,10,10823.18,4.5,48704.31,0,74,10
8549,2020-03-25,수,8,128,20,26085.91,3.5,91300.685,0,74,10
12,2021-02-27,토,14,304,20,3466.49,33.5,116127.415,0,66,6
529,2020-01-01,수,23,304,30,22566.3,46.0,1038049.7999999999,0,66,6
655,2020-06-23,화,6,304,10,8832.75,15.75,139115.8125,0,66,6
4060,2021-10-23,토,4,304,30,35137.09,48.0,1686580.3199999998,0,66,6
6926,2021-04-09,금,24,304,20,9171.25,5.5,50441.875,0,66,6
7907,2020-07-07,화,13,304,10,13617.25,7.0,95320.75,0,66,6
8476,2021-09-21,화,5,304,10,29551.61,3.75,110818.5375,0,66,6
9353,2021-04-14,수,14,304,30,18126.6,21.0,380658.6,0,66,6
13,2020-04-24,금,20,355,30,35771.49,5.7,203897.493,0,10,6
356,2020-05-25,월,19,355,10,45214.13,3.0,135642.38999999998,0,10,6
4545,2021-08-15,일,21,355,30,11558.27,17.099999999999998,197646.417,0,10,6
4864,2021-01-10,일,6,355,10,20798.72,10.2,212146.944,0,10,6
5215,2020-06-24,수,17,355,20,33033.98,25.2,832456.2960000001,0,10,6
5994,2021-01-02,토,9,355,20,15101.06,12.6,190273.356,0,10,6
6082,2020-06-08,월,17,355,10,39374.95,18.3,720561.585,0,10,6
7837,2020-05-18,월,20,355,20,23007.75,24.0,552186.0,0,10,6
14,2020-04-29,수,3,9,30,44035.63,1.7999999999999998,79264.13399999999,1,25,9
284,2020-05-19,화,18,9,10,24477.69,52.8,1292422.032,1,25,9
1341,2020-08-09,일,6,9,20,11423.76,42.0,479797.92,1,25,9
1651,2020-09-22,화,4,9,10,46852.25,11.4,534115.65,1,25,9
1977,2020-10-04,일,5,9,20,34784.06,7.199999999999999,250445.23199999996,1,25,9
2985,2020-12-16,수,8,9,10,21985.54,82.8,1820402.712,1,25,9
3462,2020-09-16,수,6,9,30,12649.58,28.2,356718.156,1,25,9
7121,2020-03-15,일,19,9,10,18923.6,7.199999999999999,136249.91999999998,1,25,9
7307,2021-04-09,금,3,9,20,31863.11,8.4,267650.124,1,25,9
7739,2021-10-17,일,2,9,10,38322.78,15.6,597835.368,1,25,9
8030,2021-05-17,월,4,9,20,8623.68,15.6,134529.408,1,25,9
8099,2020-09-20,일,17,9,10,36573.1,14.399999999999999,526652.6399999999,1,25,9
8157,2020-03-28,토,18,9,30,9469.11,9.6,90903.456,1,25,9
8784,2021-09-25,토,17,9,10,2172.21,39.6,86019.516,1,25,9
9667,2020-12-16,수,11,9,30,49016.26,70.8,3470351.208,1,25,9
15,2020-05-05,화,14,863,20,12276.56,82.8,1016499.168,1,21,5
2262,2021-12-22,수,8,863,10,6344.72,31.2,197955.264,1,21,5
3583,2020-03-25,수,18,863,30,31566.02,232.79999999999998,7348569.455999999,1,21,5
4359,2020-01-21,화,2,863,10,34895.84,105.6,3685000.7039999994,1,21,5
4993,2020-05-15,금,13,863,30,34378.36,102.0,3506592.72,1,21,5
5263,2020-02-10,월,20,863,10,27005.17,94.8,2560090.116,1,21,5
7660,2021-03-28,일,15,863,10,14316.93,69.6,996458.328,1,21,5
9239,2021-05-01,토,7,863,30,1998.8,72.0,143913.6,1,21,5
16,2021-07-27,화,22,766,30,13392.59,36.0,482133.24,1,52,9
1512,2020-06-15,월,4,766,30,24211.6,6.6,159796.55999999997,1,52,9
1938,2021-01-03,일,14,766,20,40513.41,6.0,243080.46000000002,1,52,9
3631,2021-02-27,토,14,766,10,39198.58,25.2,987804.216,1,52,9
3926,2020-07-22,수,11,766,10,38841.27,40.8,1584723.8159999999,1,52,9
4468,2021-05-03,월,3,766,20,15712.42,18.599999999999998,292251.012,1,52,9
4683,2021-11-24,수,12,766,30,18635.54,96.0,1789011.84,1,52,9
6239,2020-03-21,토,11,766,10,19381.46,40.8,790763.5679999999,1,52,9
6363,2020-10-02,금,10,766,10,34091.71,24.0,818201.04,1,52,9
7563,2021-07-16,금,18,766,10,20509.45,31.2,639894.84,1,52,9
8585,2020-04-17,금,9,766,10,43412.03,7.199999999999999,312566.616,1,52,9
17,2020-03-16,월,10,707,30,16474.33,35.5,584838.7150000001,0,63,6
79,2021-05-13,목,9,707,20,35980.66,96.0,3454143.3600000003,0,63,6
1384,2021-11-30,화,10,707,20,43504.49,34.0,1479152.66,0,63,6
1681,2021-02-20,토,2,707,20,47326.18,12.5,591577.25,0,63,6
4301,2020-07-09,목,6,707,10,24767.94,16.5,408671.00999999995,0,63,6
4680,2021-06-07,월,13,707,10,41097.14,31.0,1274011.34,0,63,6
5517,2021-12-04,토,15,707,10,43304.45,22.5,974350.1249999999,0,63,6
6255,2020-09-19,토,9,707,10,36029.1,25.0,900727.5,0,63,6
6705,2021-08-17,화,13,707,10,19625.14,25.5,500441.07,0,63,6
7348,2020-06-07,일,24,707,10,16602.39,3.0,49807.17,0,63,6
8045,2021-08-02,월,5,707,30,10272.6,12.75,130975.65000000001,0,63,6
9576,2020-10-31,토,7,707,20,48941.58,5.0,244707.90000000002,0,63,6
18,2020-10-04,일,12,823,30,44190.81,30.599999999999998,1352238.7859999998,1,77,6
94,2021-12-15,수,13,823,10,31326.17,43.8,1372086.2459999998,1,77,6
665,2021-10-31,일,18,823,20,3557.03,27.0,96039.81000000001,1,77,6
1209,2020-07-12,일,24,823,20,46354.23,9.0,417188.07,1,77,6
1237,2021-10-23,토,6,823,20,19764.61,7.199999999999999,142305.19199999998,1,77,6
1472,2020-05-15,금,9,823,30,26409.13,26.4,697201.032,1,77,6
1971,2021-01-08,금,6,823,30,45464.25,14.7,668324.475,1,77,6
2205,2021-10-19,화,15,823,20,47731.1,35.4,1689680.94,1,77,6
3138,2020-03-06,금,3,823,30,16717.2,3.5999999999999996,60181.92,1,77,6
3183,2020-05-26,화,24,823,20,43032.02,99.6,4285989.192,1,77,6
3850,2020-11-14,토,5,823,10,37487.4,22.5,843466.5,1,77,6
4371,2020-04-30,목,22,823,20,12096.89,28.799999999999997,348390.432,1,77,6
4934,2020-03-07,토,20,823,20,6680.48,57.0,380787.36,1,77,6
5476,2021-10-18,월,4,823,10,39461.79,55.8,2201967.8819999998,1,77,6
8089,2021-09-23,목,7,823,30,36098.43,114.0,4115221.02,1,77,6
8177,2021-08-18,수,20,823,10,33476.16,120.0,4017139.2,1,77,6
19,2021-01-23,토,24,187,20,8752.37,99.0,866484.6300000001,0,53,4
885,2021-01-30,토,14,187,10,26800.75,3.0,80402.25,0,53,4
1531,2021-04-18,일,8,187,20,9562.68,29.0,277317.72000000003,0,53,4
2993,2021-10-20,수,3,187,10,46240.52,30.0,1387215.5999999999,0,53,4
3581,2021-08-21,토,17,187,20,42988.91,20.0,859778.2000000001,0,53,4
5688,2021-03-20,토,23,187,20,9329.84,36.0,335874.24,0,53,4
5958,2021-12-14,화,23,187,10,40022.19,200.0,8004438.0,0,53,4
7836,2020-05-25,월,16,187,30,30934.68,72.0,2227296.96,0,53,4
9328,2020-07-25,토,19,187,30,35027.06,67.0,2346813.02,0,53,4
20,2021-11-26,금,17,395,20,37171.32,42.0,1561195.44,1,67,10
1863,2021-11-02,화,22,395,30,30651.45,3.5999999999999996,110345.21999999999,1,67,10
3935,2020-04-20,월,5,395,10,34622.32,8.1,280440.79199999996,1,67,10
4193,2021-11-22,월,11,395,10,29186.96,30.0,875608.7999999999,1,67,10
4729,2021-06-10,목,8,395,20,30792.59,22.8,702071.052,1,67,10
5465,2020-12-31,목,13,395,20,17936.78,48.0,860965.44,1,67,10
6536,2021-04-18,일,12,395,10,5385.6,4.2,22619.520000000004,1,67,10
7136,2021-03-05,금,8,395,10,25490.8,39.6,1009435.68,1,67,10
8005,2020-12-12,토,16,395,20,41224.66,33.6,1385148.5760000001,1,67,10
9124,2021-12-29,수,11,395,20,49299.65,13.799999999999999,680335.1699999999,1,67,10
21,2020-05-14,목,5,306,20,45679.96,58.8,2685981.648,1,71,8
1051,2020-02-19,수,16,306,10,32571.48,43.199999999999996,1407087.9359999998,1,71,8
1386,2020-10-07,수,17,306,10,46380.92,84.0,3895997.28,1,71,8
4352,2020-07-16,목,13,306,10,27448.89,9.6,263509.344,1,71,8
5612,2020-09-12,토,10,306,10,2920.3,59.4,173465.82,1,71,8
8191,2020-08-12,수,15,306,30,31624.2,12.6,398464.92,1,71,8
9511,2020-04-11,토,12,306,30,24077.99,13.2,317829.468,1,71,8
22,2020-12-06,일,12,75,20,47816.72,37.0,1769218.6400000001,0,42,1
63,2020-07-12,일,20,75,20,10087.48,41.0,413586.68,0,42,1
421,2020-03-17,화,3,75,30,9971.89,2.0,19943.78,0,42,1
2797,2021-08-06,금,12,75,30,2791.41,7.0,19539.87,0,42,1
4913,2020-09-01,화,12,75,20,32950.93,70.0,2306565.1,0,42,1
5596,2021-06-12,토,14,75,30,27388.27,75.0,2054120.25,0,42,1
5980,2021-11-17,수,9,75,30,42189.12,15.0,632836.8,0,42,1
6793,2020-11-07,토,3,75,20,12468.03,16.5,205722.49500000002,0,42,1
23,2021-06-28,월,10,878,30,27912.06,0.72,20096.6832,1,14,10
129,2020-03-30,월,16,878,30,47717.86,69.83999999999999,3332615.3423999995,1,14,10
285,2020-11-16,월,22,878,30,33076.02,20.519999999999996,678719.9303999998,1,14,10
438,2020-04-03,금,7,878,20,38172.72,14.759999999999998,563429.3472,1,14,10
1409,2020-04-25,토,14,878,30,27348.09,28.08,767934.3672,1,14,10
3871,2021-03-11,목,22,878,10,9691.37,24.479999999999997,237244.7376,1,14,10
5471,2021-01-05,화,18,878,10,11927.21,16.2,193220.80199999997,1,14,10
5933,2021-08-31,화,5,878,20,41680.15,0.36,15004.854,1,14,10
6202,2020-07-03,금,6,878,10,21240.29,5.579999999999999,118520.8182,1,14,10
24,2020-04-16,목,4,502,20,28015.33,9.0,252137.97000000003,1,15,3
941,2021-12-09,목,8,502,30,28339.96,10.44,295869.1824,1,15,3
1034,2021-11-13,토,13,502,30,43608.06,14.04,612257.1623999999,1,15,3
1084,2021-01-28,목,10,502,30,27498.34,27.0,742455.18,1,15,3
3252,2021-10-08,금,2,502,30,10177.54,16.919999999999998,172203.9768,1,15,3
3938,2021-04-03,토,9,502,30,21131.29,34.559999999999995,730297.3823999999,1,15,3
4218,2020-12-23,수,15,502,20,44896.4,6.84,307091.376,1,15,3
9255,2021-12-29,수,17,502,30,21111.86,25.2,532018.872,1,15,3
9391,2020-01-23,목,12,502,20,14019.66,21.24,297777.5784,1,15,3
9831,2020-03-04,수,9,502,20,10179.23,24.119999999999997,245523.02759999997,1,15,3
25,2020-05-11,월,11,112,10,21648.98,93.6,2026344.528,1,25,9
1234,2020-09-28,월,14,112,30,45470.35,168.0,7639018.8,1,25,9
1474,2020-04-28,화,9,112,30,10364.21,110.39999999999999,1144208.7839999998,1,25,9
1657,2021-09-15,수,14,112,10,26137.35,90.0,2352361.5,1,25,9
3149,2020-01-15,수,9,112,30,11345.94,48.0,544605.12,1,25,9
4293,2020-05-02,토,20,112,10,38267.65,18.0,688817.7000000001,1,25,9
5863,2020-09-30,수,24,112,20,19656.35,99.6,1957772.4599999997,1,25,9
6141,2020-04-24,금,11,112,30,14648.09,100.8,1476527.472,1,25,9
26,2020-12-29,화,16,740,30,21088.75,4.0,84355.0,0,63,9
1706,2020-01-27,월,19,740,20,44489.66,4.0,177958.64,0,63,9
4936,2020-04-22,수,2,740,10,2625.58,15.75,41352.885,0,63,9
5872,2021-06-23,수,13,740,10,24570.06,27.5,675676.65,0,63,9
6676,2020-03-06,금,14,740,10,9036.09,31.0,280118.79,0,63,9
6935,2021-01-18,월,7,740,10,21402.49,39.5,845398.3550000001,0,63,9
8773,2021-03-23,화,9,740,30,25170.87,11.0,276879.57,0,63,9
9041,2020-05-16,토,15,740,10,22041.6,3.5,77145.59999999999,0,63,9
27,2020-06-15,월,10,301,10,21099.88,12.239999999999998,258262.53119999997,1,16,8
906,2020-01-11,토,8,301,20,43954.49,21.96,965240.6004,1,16,8
2080,2021-05-15,토,7,301,20,34820.44,20.88,727050.7872,1,16,8
2188,2020-05-23,토,4,301,20,5721.32,5.3999999999999995,30895.127999999997,1,16,8
3736,2021-09-08,수,10,301,20,21567.79,21.24,458099.85959999997,1,16,8
4446,2021-10-30,토,9,301,30,49860.57,61.92,3087366.4944,1,16,8
5620,2021-05-17,월,3,301,10,47778.11,8.28,395602.7508,1,16,8
7200,2020-09-15,화,18,301,20,43502.48,12.6,548131.248,1,16,8
7203,2020-05-28,목,13,301,20,40723.32,8.28,337189.08959999995,1,16,8
7828,2020-05-03,일,18,301,20,16093.29,29.519999999999996,475073.92079999996,1,16,8
8087,2021-11-04,목,7,301,30,20767.93,26.639999999999997,553257.6551999999,1,16,8
8165,2021-12-15,수,3,301,30,43029.38,36.0,1549057.68,1,16,8
8721,2021-06-06,일,10,301,20,1708.87,19.08,32605.239599999994,1,16,8
28,2021-11-19,금,17,62,10,25125.5,14.0,351757.0,0,33,9
1223,2021-07-27,화,14,62,20,7155.2,56.0,400691.2,0,33,9
1813,2020-10-04,일,12,62,30,30978.88,42.0,1301112.96,0,33,9
1918,2020-09-24,목,2,62,10,25029.3,11.5,287836.95,0,33,9
2807,2020-01-03,금,23,62,30,32169.18,11.0,353860.98,0,33,9
4654,2021-04-03,토,12,62,20,15669.05,43.0,673769.15,0,33,9
5409,2021-11-04,목,18,62,20,12778.38,5.0,63891.899999999994,0,33,9
5741,2021-07-01,목,8,62,20,32631.01,18.0,587358.1799999999,0,33,9
6882,2020-04-20,월,13,62,30,40657.99,4.0,162631.96,0,33,9
9103,2020-11-20,금,8,62,10,47847.73,32.0,1531127.36,0,33,9
9594,2021-04-13,화,21,62,10,39018.77,76.0,2965426.5199999996,0,33,9
9672,2020-05-25,월,16,62,30,7535.49,14.0,105496.86,0,33,9
9794,2021-01-15,금,9,62,30,44603.73,140.0,6244522.2,0,33,9
29,2020-05-05,화,19,454,10,37703.47,12.0,452441.64,0,32,6
2150,2020-01-29,수,3,454,30,47160.86,100.0,4716086.0,0,32,6
2972,2021-06-29,화,7,454,10,27094.01,1.0,27094.01,0,32,6
5251,2021-02-15,월,24,454,10,5600.73,67.0,375248.91,0,32,6
5723,2021-10-15,금,9,454,30,13120.15,76.0,997131.4,0,32,6
5754,2020-06-20,토,20,454,10,40159.24,196.0,7871211.04,0,32,6
6515,2021-09-02,목,9,454,10,3502.21,95.0,332709.95,0,32,6
7153,2021-10-04,월,17,454,10,31070.63,71.0,2206014.73,0,32,6
30,2020-04-12,일,5,283,20,9401.0,40.0,376040.0,0,49,1
993,2021-03-18,목,3,283,20,23867.95,48.0,1145661.6,0,49,1
1968,2021-07-11,일,13,283,10,39786.33,180.0,7161539.4,0,49,1
2269,2020-10-19,월,22,283,10,49765.62,6.0,298593.72000000003,0,49,1
2597,2020-01-05,일,9,283,10,11523.64,69.0,795131.1599999999,0,49,1
2665,2020-12-07,월,11,283,20,49136.66,126.0,6191219.16,0,49,1
3225,2020-02-17,월,17,283,10,14030.42,81.0,1136464.02,0,49,1
4240,2021-07-07,수,24,283,10,8552.65,1.0,8552.65,0,49,1
6346,2020-04-20,월,10,283,20,33362.52,74.0,2468826.48,0,49,1
6409,2021-12-27,월,10,283,30,27902.83,12.0,334833.96,0,49,1
7081,2020-09-28,월,19,283,20,34584.29,82.0,2835911.7800000003,0,49,1
7533,2020-03-21,토,1,283,30,31758.21,9.0,285823.89,0,49,1
7866,2021-04-30,금,4,283,10,28449.39,27.5,782358.225,0,49,1
7993,2020-08-02,일,13,283,20,12489.33,61.0,761849.13,0,49,1
8420,2020-09-07,월,20,283,30,24558.74,52.0,1277054.48,0,49,1
8547,2020-01-15,수,14,283,30,48217.39,146.0,7039738.9399999995,0,49,1
9042,2020-04-27,월,2,283,20,40981.55,27.5,1126992.625,0,49,1
9752,2020-10-12,월,21,283,10,47034.38,29.0,1363997.02,0,49,1
9793,2020-03-17,화,12,283,20,28833.93,33.0,951519.6900000001,0,49,1
31,2021-10-09,토,22,21,10,23946.13,37.0,886006.81,0,24,1
568,2020-08-11,화,11,21,20,25048.82,21.0,526025.22,0,24,1
1174,2021-10-04,월,17,21,20,15285.23,78.0,1192247.94,0,24,1
1281,2021-10-11,월,2,21,20,26004.12,46.5,1209191.5799999998,0,24,1
2355,2021-06-27,일,21,21,20,15320.98,50.0,766049.0,0,24,1
2730,2020-04-29,수,7,21,20,1447.17,23.0,33284.91,0,24,1
3538,2020-01-27,월,24,21,10,23467.19,81.0,1900842.39,0,24,1
3804,2021-05-07,금,24,21,30,5358.73,27.0,144685.71,0,24,1
4171,2020-04-22,수,21,21,10,7685.66,49.0,376597.33999999997,0,24,1
6142,2021-11-03,수,24,21,20,35710.32,57.0,2035488.24,0,24,1
7286,2021-10-12,화,11,21,30,37173.76,17.0,631953.92,0,24,1
32,2021-10-03,일,11,497,30,15345.69,93.0,1427149.1700000002,0,41,5
357,2021-04-04,일,5,497,20,19403.49,10.5,203736.64500000002,0,41,5
2521,2020-12-15,화,6,497,20,29096.43,0.5,14548.215,0,41,5
2812,2021-09-02,목,6,497,10,16532.82,50.0,826641.0,0,41,5
4435,2020-02-04,화,19,497,20,39850.78,180.0,7173140.399999999,0,41,5
7264,2021-07-18,일,13,497,10,49177.04,152.0,7474910.08,0,41,5
9398,2020-12-06,일,4,497,20,24702.22,33.0,815173.26,0,41,5
33,2020-11-27,금,13,884,10,8845.41,23.5,207867.135,0,71,3
3348,2020-10-24,토,9,884,20,14100.36,49.0,690917.64,0,71,3
4533,2020-05-23,토,5,884,10,32268.16,18.5,596960.96,0,71,3
6013,2020-03-29,일,1,884,10,37465.16,0.75,28098.870000000003,0,71,3
7044,2020-12-12,토,14,884,20,1829.85,48.5,88747.72499999999,0,71,3
7112,2020-12-08,화,18,884,20,2137.66,42.0,89781.72,0,71,3
8031,2021-11-11,목,24,884,20,36224.26,3.5,126784.91,0,71,3
34,2020-04-13,월,2,737,10,19051.03,6.8999999999999995,131452.107,1,60,9
358,2021-10-01,금,18,737,20,12268.97,10.2,125143.49399999999,1,60,9
1225,2021-09-06,월,17,737,20,15689.1,13.799999999999999,216509.58,1,60,9
1464,2021-07-22,목,1,737,10,8544.71,15.6,133297.476,1,60,9
3668,2020-03-09,월,2,737,30,24401.2,1.7999999999999998,43922.159999999996,1,60,9
7057,2020-12-17,목,7,737,20,39556.01,34.8,1376549.148,1,60,9
8493,2021-09-28,화,19,737,30,39632.26,7.199999999999999,285352.272,1,60,9
8495,2021-12-26,일,22,737,30,24125.28,46.199999999999996,1114587.9359999998,1,60,9
9455,2021-02-06,토,9,737,20,8568.52,22.8,195362.25600000002,1,60,9
35,2020-02-05,수,24,520,30,39706.69,14.399999999999999,571776.336,1,16,4
846,2021-12-12,일,15,520,20,11895.26,6.119999999999999,72798.99119999999,1,16,4
